Question2,yoshida,koide,saka
stimulation1,0.2587679,0.07003437,0.1370396
stimulation2,0.2692478,0.2003135,0.1464799
stimulation3,0.2438557,0.1892593,0.1502676
stimulation4,0.02574452,0.1067427,0.1667765
stimulation5,0.1873706,0.1514369,0.09947965
stimulation6,0.3418339,0.2707431,0.6916963
stimulation7,0.4349043,0.4864639,0.6220316
