Question1,yoshida,koide,saka
stimulation1,0.124716,0.06571884,0.07951576
stimulation2,0.1663569,0.0265796,0.05760461
stimulation3,0.2057534,0.2407722,0.1365103
stimulation4,0.2408094,0.1108395,0.5696588
stimulation5,0.2307886,0.1787844,0.6090038
stimulation6,0.3801273,0.2441724,0.731927
stimulation7,0.5065524,0.4108217,0.7607723
